name_ar,name_en,location_lat,location_long
شبين القناطر,Shibin Qanatir,30.3129356,31.3269177
كفر شبين,Kafr Shebeen,30.29688179999999,31.3003291
طحانوب,Tahanub,30.2810364,31.2934502
كفر طحا,Kafr Taha,30.2691612,31.2885509
الزهوين,Zahawiyin,30.25669509999999,31.2832391
نوى,Nawa,,
كفر رمادة,Kafr Ramadah,30.2098153,31.2435568
الزاوية الحمراء,Zawya Hamraa,30.086625,31.267592
طلخا,Talkha,31.054028,31.3772894
سمنود,Samannoud,30.96428749999999,31.2462624
المحلة الكبرى,Mahalla Kubra,30.9689908,31.1687061
محلة روح,Mahallat Rouh,30.874558,31.0848103
جامعة الأزهر,Azhar University,27.1955957,31.1742173
ميت عساس,Mit Assas,31.0062491,31.2892932
شبلنجة,Shiblanjah,30.4750371,31.2630387
العزيزية,Aziziyyah,30.4814047,31.2904676
شربين,Shirbin,31.1915938,31.5267491
كفر سعد,Kafr Saad,31.3550618,31.6889916
راس الخليج,Ras Khaleej,31.2776877,31.6220239
دمياط,Damietta,31.4187479,31.8080119
راس العش,Ras Esh,31.1370842,32.304324
كوم حلين,Kom Halin,30.4870492,31.31452569999999
محجر ابو حماد,Mahjar Abo Hammad,30.5362499,31.6779477
سرابيوم,Serapeum,30.4782373,32.31942
ابو سلطان,Abo Sultan,30.41086859999999,32.3037448
فايد,Fayed,30.3310312,32.2941781
جنيفة,Jenefh,30.2065939,32.4281719
الشيخ زايد,Sheikh Zayed,30.6013189,32.2976956
الزنكلون,AZ Zanklun,30.5597688,31.4433617
الغابة,Ghaba,30.741321,31.7214941
خلف الله,Khalafallah,30.7430152,31.7367527
الفدادنة,Fadadnah,30.7399406,31.7527483
البيروم,Bayrum,30.7453838,31.7692728
فاقوس,Faqus,30.7275545,31.79431829999999
جهينة,Geheinah,30.7242504,31.8145867
كفر الحاج عمر,Kafr Haj Omar,30.7332201,31.8451859
اكياد,Akyad,30.7427014,31.8768162
الدراكة,Drakh,30.747081,31.8915416
اباظة,Abaza,30.75546799999999,31.9195892
العزازي,Azzazi,30.0092238,31.2079466
الكابيشة,Kabaysha,30.7721244,31.9754555
التينة,Tenh,30.4558513,31.1806955
الصالحية,Salheya,30.778848,31.9981494
السويس,Suez,29.9889369,32.5276841
منية السباع,Menyet Sebaa,30.4558513,31.1806955
